"Date","Team","Opp","BO","Pos","PA","H","X2B","X3B","HR","R","RBI","SB","CS","BB.","K.","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC.","BIS","BB","K"
"2018-04-02","SDP","COL",3,"1B",5,2,2,0,0,1,0,0,0,20,0,0.5,0.5,".500",".600","1.000",".643","304",3516,1,0
"2018-03-31","SDP","MIL",3,"1B",4,2,1,0,0,0,1,0,0,0,25,0.25,0.667,".500",".500",".750",".537","236",3516,0,1
"2018-03-30","SDP","MIL",3,"1B",5,2,1,0,0,0,1,0,0,20,0,0.25,0.5,".500",".600",".750",".567","255",3516,1,0
"2018-03-29","SDP","MIL",3,"1B",5,0,0,0,0,0,0,0,0,20,40,0,0,".000",".200",".000",".138","-20",3516,1,2
"2018-04-01","BOS","@TBR",3,"LF",5,1,0,0,0,0,1,0,0,0,40,0,0.333,".200",".200",".200",".177","-2",6184,0,2
"2018-03-31","BOS","@TBR",4,"LF",4,2,1,0,0,1,0,0,0,0,0,0.25,0.5,".500",".500",".750",".537","269",6184,0,0
"2018-03-30","BOS","@TBR",4,"DH",4,0,0,0,0,0,0,0,0,25,25,0,0,".000",".250",".000",".172","-6",6184,1,1
"2018-03-29","BOS","@TBR",4,"DH",4,0,0,0,0,1,0,0,0,25,50,0,0,".000",".250",".000",".172","-6",6184,1,2
"2018-03-31","PHI","@ATL",3,"CF",4,0,0,0,0,1,0,0,0,25,25,0,0,".000",".250",".000",".172","-2",11476,1,1
"2018-03-30","PHI","@ATL",3,"CF",6,1,1,0,0,0,0,0,0,0,16.7,0.167,0.2,".167",".167",".333",".211","23",11476,0,1
"2018-03-29","PHI","@ATL",4,"CF",0,0,0,0,0,0,0,0,0,0,0,0,0,".000",".000",".000",".000","",11476,0,0
"2018-04-01","SEA","CLE",2,"SS",4,2,1,0,0,1,1,0,0,0,0,0.25,0.5,".500",".500",".750",".537","277",5933,0,0
"2018-03-31","SEA","CLE",2,"SS",4,1,0,0,0,0,1,0,0,0,50,0,0.5,".250",".250",".250",".221","39",5933,0,2
"2018-03-29","SEA","CLE",2,"SS",4,0,0,0,0,0,0,0,0,0,0,0,0,".000",".000",".000",".000","-100",5933,0,0
