First,Last,First Last,BIS_Number
Denard,Span,Denard Span,8347
Dean,Anna,Dean Anna,8353
Dustin,Pedroia,Dustin Pedroia,8370
Reid,Brignac,Reid Brignac,8380
Pedro,Florimon,Pedro Florimon,8385
Daniel,Descalso,Daniel Descalso,8392
Ehire,Adrianza,Ehire Adrianza,8418
Ike,Davis,Ike Davis,8433
Gerardo,Parra,Gerardo Parra,8553
Tim,Federowicz,Tim Federowicz,8609
Kendrys,Morales,Kendrys Morales,8610
Donovan,Solano,Donovan Solano,8623
Elvis,Andrus,Elvis Andrus,8709
Jason,Castro,Jason Castro,8722
Matt,Clark,Matt Clark,8793
Conor,Gillaspie,Conor Gillaspie,9009
Gordon,Beckham,Gordon Beckham,9015
Ezequiel,Carrera,Ezequiel Carrera,9048
Justin,Smoak,Justin Smoak,9054
Alexi,Amarista,Alexi Amarista,9063
Lorenzo,Cain,Lorenzo Cain,9077
Khris,Davis,Khris Davis,9112
Tyler,Flowers,Tyler Flowers,9134
Buster,Posey,Buster Posey,9166
Jordan,Danks,Jordan Danks,9187
Logan,Morrison,Logan Morrison,9205
Paul,Goldschmidt,Paul Goldschmidt,9218
Danny,Espinosa,Danny Espinosa,9219
Starling,Marte,Starling Marte,9241
A.J.,Pollock,A.J. Pollock,9256
Chris,Davis,Chris Davis,9272
Chris,Herrmann,Chris Herrmann,9284
Joshua,Phegley,Joshua Phegley,9308
Drew,Stubbs,Drew Stubbs,9328
Brock,Holt,Brock Holt,9345
Evan,Longoria,Evan Longoria,9368
Matt,Adams,Matt Adams,9393
Steve,Clevenger,Steve Clevenger,9542
David,Freese,David Freese,9549
Craig,Gentry,Craig Gentry,9571
Jeff,Kobernus,Jeff Kobernus,9591
Yan,Gomes,Yan Gomes,9627
Michael,McKenry,Michael McKenry,9628
Adam,Rosales,Adam Rosales,9682
Josh,Thole,Josh Thole,9689
Chris,Dominguez,Chris Dominguez,9718
Ben,Paulsen,Ben Paulsen,9741
Justin,Bour,Justin Bour,9744
James,Jones,James Jones,9767
Christian,Vazquez,Christian Vazquez,9774
Jason,Kipnis,Jason Kipnis,9776
Nolan,Arenado,Nolan Arenado,9777
Juan,Uribe,Juan Uribe,454
Kyle,Seager,Kyle Seager,9785
Ryan,Goins,Ryan Goins,9807
Brian,Dozier,Brian Dozier,9810
Andrew,McCutchen,Andrew McCutchen,9847
Austin,Jackson,Austin Jackson,9848
Efren,Navarro,Efren Navarro,9854
Bryan,Anderson,Bryan Anderson,9871
DJ,LeMahieu,DJ LeMahieu,9874
Jordan,Schafer,Jordan Schafer,9883
Logan,Schafer,Logan Schafer,9883
Jay,Bruce,Jay Bruce,9892
Colby,Rasmus,Colby Rasmus,9893
Chris,Carter,Chris Carter,9911
Yorman,Rodriguez,Yorman Rodriguez,9922
Brett,Gardner,Brett Gardner,9927
Darin,Ruf,Darin Ruf,9929
Steve,Pearce,Steve Pearce,9957
Alex,Hassan,Alex Hassan,9959
Daniel,Butler,Daniel Butler,9968
Michael,Saunders,Michael Saunders,9981
Christian,Bethancourt,Christian Bethancourt,10028
Chris,Owings,Chris Owings,10030
Wil,Myers,Wil Myers,10047
Grant,Green,Grant Green,10053
Max,Stassi,Max Stassi,10059
Tomas,Telis,Tomas Telis,10067
Jonathan,Villar,Jonathan Villar,10071
Dustin,Ackley,Dustin Ackley,10099
Donald,Lutz,Donald Lutz,10154
Mike,Trout,Mike Trout,10155
Nick,Franklin,Nick Franklin,10166
Billy,Hamilton,Billy Hamilton,10199
Tucker,Barnhart,Tucker Barnhart,10200
Jose,Iglesias,Jose Iglesias,10231
Randal,Grichuk,Randal Grichuk,10243
Brandon,Belt,Brandon Belt,10264
Hector,Sanchez,Hector Sanchez,10289
Adrian,Nieto,Adrian Nieto,10294
Oswaldo,Arcia,Oswaldo Arcia,10306
Danny,Santana,Danny Santana,10322
Marcell,Ozuna,Marcell Ozuna,10324
Reymond,Fuentes,Reymond Fuentes,10329
Scooter,Gennett,Scooter Gennett,10339
